Taylor	IA	(255, 235, 176)
Adams	IA	(255, 235, 166)
Union	IA	(255, 235, 156)
Ringgold	IA	(255, 235, 146)
Decatur	IA	(255, 235, 136)
Clarke	IA	(255, 235, 126)
Madison	IA	(255, 235, 116)
Dallas	IA	(255, 235, 106)
Boone	IA	(255, 235, 96)
Hamilton	IA	(255, 235, 86)
Wright	IA	(255, 235, 76)
Hancock	IA	(255, 235, 66)
Winnebago	IA	(255, 235, 56)
Worth	IA	(255, 235, 46)
Cerro Gordo	IA	(255, 235, 36)
Franklin	IA	(255, 235, 26)
Hardin	IA	(255, 235, 16)
Story	IA	(255, 235, 6)
Polk	IA	(255, 234, 252)
Warren	IA	(255, 234, 242)
Lucas	IA	(255, 234, 232)
Wayne	IA	(255, 234, 222)
Appanoose	IA	(255, 234, 212)
Monroe	IA	(255, 234, 202)
Marion	IA	(255, 234, 192)
Jasper	IA	(255, 234, 182)
Marshall	IA	(255, 234, 172)
Grundy	IA	(255, 234, 162)
Butler	IA	(255, 234, 152)
Floyd	IA	(255, 234, 142)
Mitchell	IA	(255, 234, 132)
Howard	IA	(255, 234, 122)
Chickasaw	IA	(255, 234, 112)
Bremer	IA	(255, 234, 102)
Black Hawk	IA	(255, 234, 92)
Tama	IA	(255, 234, 82)
Poweshiek	IA	(255, 234, 72)
Mahaska	IA	(255, 234, 62)
Wapello	IA	(255, 234, 52)
Davis	IA	(255, 234, 42)
Van Buren	IA	(255, 234, 32)
Jefferson	IA	(255, 234, 22)
Benton	IA	(255, 234, 12)
Iowa	IA	(255, 234, 2)
Keokuk	IA	(255, 233, 248)
Washington	IA	(255, 233, 238)
Henry	IA	(255, 233, 228)
Lee	IA	(255, 233, 218)
Des Moines	IA	(255, 233, 208)
Louisa	IA	(255, 233, 198)
Muscatine	IA	(255, 233, 188)
Johnson	IA	(255, 233, 178)
Linn	IA	(255, 233, 168)
Cedar	IA	(255, 233, 158)
Jones	IA	(255, 233, 148)
Buchanan	IA	(255, 233, 138)
Fayette	IA	(255, 233, 128)
Winneshiek	IA	(255, 233, 118)
Allamakee	IA	(255, 233, 108)
Clayton	IA	(255, 233, 98)
Delaware	IA	(255, 233, 88)
Dubuque	IA	(255, 233, 78)
Jackson	IA	(255, 233, 68)
Fremont	ID	(255, 233, 58)
Clark	ID	(255, 233, 48)
Benewah	ID	(255, 233, 38)
Kootenai	ID	(255, 233, 28)
Bonner	ID	(255, 233, 18)
Boundary	ID	(255, 233, 8)
Latah	ID	(255, 232, 254)
Nez Perce	ID	(255, 232, 244)
Lewis	ID	(255, 232, 234)
Adams	ID	(255, 232, 224)
Washington	ID	(255, 232, 214)
Payette	ID	(255, 232, 204)
Boise	ID	(255, 232, 194)
Gem	ID	(255, 232, 184)
Canyon	ID	(255, 232, 174)
Ada	ID	(255, 232, 164)
Elmore	ID	(255, 232, 154)
Owyhee	ID	(255, 232, 144)
Camas	ID	(255, 232, 134)
Gooding	ID	(255, 232, 124)
Jerome	ID	(255, 232, 114)
Twin Falls	ID	(255, 232, 104)
Cassia	ID	(255, 232, 94)
Oneida	ID	(255, 232, 84)
Power	ID	(255, 232, 74)
